NR	var1	q2_delav	q2_delav_komm	q3_biborg	q3_biborg_underavdtype	q4_bibstr	q5_landsdel	q6_kunnskap_os	q6_kunnskap_od	q6_kunnskap_rdm	q6_kunnskap_dmp	q6_kunnskap_fair	q6_kunnskap_komm	q7a_holdn_bibans_nasjonal	q7b_holdn_vitans_OS	q7c_holdn_alltid_tilgjengelig	q7d_holdn_bib_rolle_dev	q7e_holdn_bib_rolle_edu	q7f_holdn_bib_kompetanseheving	q7g_holdn_bib_samarb_tverrf_edu	q7_holdn_komm	q8_prax_exist_policy	q8b_prax_exist_policy_plan	q9_prax_existing_tech	q9_prax_existing_tech_desc	q9_prax_existing_tech_plan	q10_prax_bib_dev_edu_vitass	q10_prax_bib_dev_edu_vitass_desc	q10_prax_bib_dev_edu_vitass_plan	q11_prax_bib_kompheving_bibans	q11_prax_bib_kompheving_bibans_desc	q11_prax_bib_kompheving_bibans_plan	q12_finalcomments	Svartid
12925770	1	hoy		hele		lite	vest	4	3	4	1	2		4	2	4	5	4	5	5		2	0	0		0	2		2	2		2		3 minutter 5 sekunder
12927455	1	uni		hele		stort	ost	3	3	3	3	3		2	2	3	4	4	4	4		2	0	0		1	2		1	2		0		3 minutter 48 sekunder
12927499	1	hoy		hele		lite	sor	3	3	1	1	1		4	4	3	4	3	4	5		0	0	0		0	2		2	2		2		4 minutter 56 sekunder
12928289	1	hoy		hele		stort	vest	4	4	4	3	4		3	2	5	5	5	5	5	Ang. 7 a og b, så finner vi ekstremt stor variasjon i kunnskaper om og interesse for open data i begge grupper. Enkelte forskere driver hovedsakelig med kvalitative persondata, og synes dette virkelig ikke angår dem, noen er redde for at andre skal stikke av med forskningen deres.	2	1	1	Figshare er brukt.		1	online kurs		2		0		15 minutter 45 sekunder
12932610	1	uni		hele		medium	ost	3	3	3	3	3		3	3	2	4	4	5	5		1		1			1			2		1		3 minutter 40 sekunder
12949088	1	uni		underavd		stort	ost	4	4	4	4	4		5	4	4	5	5	5	5		1		1			1			1				1 time 9 minutter 36 sekunder
12975462	1	hoy		hele		lite	ost	2	2	1	1	1		3	3	4	4	4	4	5		0	0	0		0	2		2	2		2		22 timer 44 minutter 52 sekunder
13042545	1	hoy		hele		lite	ost	2	2	1	1	1	Jeg er relativt ny som bibliotekansvarlig.	5	4	5	4	3	4	4		1		0		1	2		0	0		0		5 minutter 34 sekunder
13043338	1	uni		hele		lite	midt	3	3	1	1	1		2	3	4	3	3	3	4		0	1	0		0	0		0	0		0		3 minutter 11 sekunder
13215510	1	hoy		hele		medium	vest	4	4	2	2	2		4	4	4	4	4	4	4		1		1			0		0	1				2 minutter 5 sekunder
13217806	1	hoy		hele		medium	vest	4	4	1	1	1		3	2	4	5	5	5	5		0	0	0		0	2		2	0		1		9 minutter 17 sekunder
13239816	1	uni		underavd		lite	nord	3	3	2	2	2		2	3	5	5	5	5	5		1		0		0	1	nettkurs		1	nettkurs		"Forskning er veldig forskjellig fra ""vanlig"" for enkelte institusjoner, Utøvende fag som musikk har det utøvende prosjektet som resultat, med langt mindre teori. Dvs konsertene er framdriften i prosjektet. Kjenner ikke til om de nasjonale retningslinjene for utøvende fag er ferdige eller godkjente. Dette har det vært jobbet med i flere år. Åpnehet begrenses pga strenge regler for copyright og innhenting av tillatelser fra enkeltmusikere og orkester som vil bidra i prosjektet."	25 minutter 56 sekunder
13273176	1	hoy		hele		lite	ost	2	2	1	1	1		1	3	4	4	3	5	5		0	0	0		0	0		0	2		0		4 minutter 48 sekunder
